排名,SKU组,包含SKU,类别,型号,颜色,状态,PackSize,2024月销_单只,2025月销_单只,2026_1-5月销_单只,全期月销_单只,2024合计_单只,2025合计_单只,2026_1-5合计_单只,有销售月份_29,排除0销量月份,最高单月销量_单只,同型号最佳颜色,同型号最佳SKU组,同型号最佳全期月销_单只,同型号最佳2024月销_单只,同型号最佳2025月销_单只,同型号最佳2026_1-5月销_单只,对比说明
1,LSWP-02M-ASV,LSWP-02M-ASV,Screwless Wall Plate,LSWP-02M,Silver,Active,1,1.9,1.4,1.0,1.6,17.0,13.0,2.0,20,9,5.0,White,LSWP-02M-W,63.2,85.8,51.8,34.0,候选 Silver 全期月销 1.6；同型号最佳 White 月销 63.2
2,LCS1-1PTR-SG,LCS1-1PTR-SG,Combination Switch,LCS1-1PTR,Space Gray,Active,1,1.7,2.0,1.0,1.6,10.0,16.0,5.0,19,10,5.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Space Gray 全期月销 1.6；同型号最佳 White 月销 105.3
3,LCS3-1P-ISWP,LCS3-1P-ISWP,Combination Switch,LCS3-1P,Ivory,Active,1,1.7,1.6,3.0,1.8,12.0,14.0,9.0,19,10,4.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Ivory 全期月销 1.8；同型号最佳 Black 月销 63.1
4,LMWP-02M-HAB,LMWP-02M-HAB,Metal Wall Plate,LMWP-02M,Hammered Antique Brass,Active,1,2.2,1.5,2.2,1.9,20.0,17.0,11.0,25,4,4.0,Antique Brass,LMWP-02M-AB,11.0,7.2,10.1,16.0,候选 Hammered Antique Brass 全期月销 1.9；同型号最佳 Antique Brass 月销 11.0
5,LMWP-34M-HC,LMWP-34M-HC,Metal Wall Plate,LMWP-34M,Hammered Chrome,Active,1,2.0,2.0,1.5,1.9,16.0,16.0,3.0,18,11,5.0,Brushed Brass,LMWP-34M-BB,38.3,38.0,34.5,48.4,候选 Hammered Chrome 全期月销 1.9；同型号最佳 Brushed Brass 月销 38.3
6,LMWP-22M-HB,LMWP-22M-HB,Metal Wall Plate,LMWP-22M,Hammered Brass,Active,1,2.3,1.9,1.0,2.0,25.0,17.0,2.0,22,7,6.0,Stainless Steel,LMWP-22M-SS,39.4,41.3,42.1,25.8,候选 Hammered Brass 全期月销 2.0；同型号最佳 Stainless Steel 月销 39.4
7,LWP-32O-AGR,LWP-32O-AGR,Wall Plate,LWP-32O,Acrylic Green,Inactive,1,2.6,1.6,1.5,2.0,23.0,14.0,3.0,20,9,5.0,Acrylic Silver,LWP-32O-ASV,75.8,92.9,73.2,40.8,候选 Acrylic Green 全期月销 2.0；同型号最佳 Acrylic Silver 月销 75.8
8,LMWP-34M-HB,LMWP-34M-HB,Metal Wall Plate,LMWP-34M,Hammered Brass,Active,1,2.3,1.9,2.0,2.1,16.0,13.0,8.0,18,11,4.0,Brushed Brass,LMWP-34M-BB,38.3,38.0,34.5,48.4,候选 Hammered Brass 全期月销 2.1；同型号最佳 Brushed Brass 月销 38.3
9,LWP-12O-AGR,LWP-12O-AGR,Wall Plate,LWP-12O,Acrylic Green,Inactive,1,2.5,1.6,2.2,2.1,20.0,13.0,9.0,20,9,5.0,Acrylic Silver,LWP-12O-ASV,35.6,57.3,23.4,12.4,候选 Acrylic Green 全期月销 2.1；同型号最佳 Acrylic Silver 月销 35.6
10,LCS2-1P-ISWP,LCS2-1P-ISWP,Combination Switch,LCS2-1P,Ivory,Active,1,2.2,1.5,2.5,2.1,22.0,6.0,10.0,18,11,6.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Ivory 全期月销 2.1；同型号最佳 Black 月销 235.8
11,LWP-01O-ARD,"LWP-01O-ARD, LWP-01O-ARD5P",Wall Plate,LWP-01O,Acrylic Red,Inactive,"1, 5",2.1,1.8,3.5,2.1,17.0,14.0,7.0,18,11,8.0,Acrylic Silver,LWP-01O-ASV,69.0,84.1,52.5,0.0,候选 Acrylic Red 全期月销 2.1；同型号最佳 Acrylic Silver 月销 69.0
12,LCS1-1PTR-NK,LCS1-1PTR-NK,Combination Switch,LCS1-1PTR,Nickel,Active,1,1.8,2.6,2.7,2.3,14.0,21.0,8.0,19,10,9.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Nickel 全期月销 2.3；同型号最佳 White 月销 105.3
13,LWP-1131O-ARG,"LWP-1131O-ARG, LWP-1131O-ARG5P",Wall Plate,LWP-1131O,Rose Gold,"Active, Inactive","1, 5",1.6,3.0,2.5,2.3,14.0,27.0,5.0,20,9,8.0,Acrylic Silver,LWP-1131O-ASV,19.1,22.8,20.2,7.2,候选 Rose Gold 全期月销 2.3；同型号最佳 Acrylic Silver 月销 19.1
14,LSWP-01M-AGD,LSWP-01M-AGD,Screwless Wall Plate,LSWP-01M,Gold,Active,1,1.9,3.0,2.0,2.3,19.0,21.0,4.0,19,10,6.0,White,LSWP-01M-W,736.7,1066.2,547.2,400.6,候选 Gold 全期月销 2.3；同型号最佳 White 月销 736.7
15,LWP-34O-ABK,"LWP-34O-ABK, LWP-34O-ABK5P",Wall Plate,LWP-34O,Acrylic Black,"Active, Inactive","1, 5",2.3,2.6,1.7,2.4,21.0,26.0,5.0,22,7,9.0,Acrylic Silver,LWP-34O-ASV,16.2,20.6,13.8,11.6,候选 Acrylic Black 全期月销 2.4；同型号最佳 Acrylic Silver 月销 16.2
16,LSMWP-02M-PB,LSMWP-02M-PB,Metal Wall Plate,LSMWP-02M,Polished Brass,Inactive,1,1.6,2.5,3.0,2.4,8.0,25.0,12.0,19,10,5.0,Stainless Steel,LSMWP-02M-SS,23.4,27.1,18.9,25.6,候选 Polished Brass 全期月销 2.4；同型号最佳 Stainless Steel 月销 23.4
17,LMWP-41M-HC,LMWP-41M-HC,Metal Wall Plate,LMWP-41M,Hammered Chrome,Active,1,2.6,2.3,2.0,2.5,29.0,16.0,2.0,19,10,6.0,Brushed Brass,LMWP-41M-BB,42.3,23.6,42.0,61.8,候选 Hammered Chrome 全期月销 2.5；同型号最佳 Brushed Brass 月销 42.3
18,LCS3-1P-GY,LCS3-1P-GY,Combination Switch,LCS3-1P,Gray,Active,1,2.1,3.0,2.0,2.5,17.0,33.0,8.0,23,6,6.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Gray 全期月销 2.5；同型号最佳 Black 月销 63.1
